Category,Dataset.title,Version,Contact.organisation,Dataset.ID,Associated.metadata.,Webpage.and.or.download,Factsheet.URL,Marine.Spatial.Planning...Policy,Education,Environmental.Impact...high.level.screening,Ecosystem.health...assessment,Ecosystem.services.and.blue.carbon
Biogenic habitat,Coral Trait Database,2017,Macquarie University,1,FALSE,https://www.nature.com/articles/sdata201617#data-records,,FALSE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Coral Reefs (2010),2,UN Environment World Conservation Monitoring Centre,2,TRUE,http://data.unep-wcmc.org/datasets/1,http://wcmc.io/warm_coral_reef,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Coral Reefs - 1 Km Data (2003),7,UN Environment World Conservation Monitoring Centre,3,TRUE,http://wcmc.io/metadata,http://wcmc.io/warm_coral_reef,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Cold-water Corals (2017),4,UN Environment World Conservation Monitoring Centre,4,TRUE,http://data.unep-wcmc.org/datasets/3,http://wcmc.io/cold-coral,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Habitat Suitability for Framework-Forming Cold-Water Corals (2011),1,"School of Ocean Sciences, University of Bangor",5,TRUE,http://doi.pangaea.de/10.1594/PANGAEA.775081,http://wcmc.io/cold-coral,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Habitat Suitability for Stony Corals on Seamounts (2009),2009,UN Environment World Conservation Monitoring Centre,6,FALSE,,http://wcmc.io/seamounts,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distributions of Habitat Suitability for Cold-Water Octocorals (2012),1.0 (2012),"Institute of Zoology, Zoological Society of London",7,TRUE,http://data.unep-wcmc.org/datasets/40,http://wcmc.io/cold-coral,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Modelled Spatial Distributions of Coralligenous and Maërl Habitats (2014),2014,UN Environment World Conservation Monitoring Centre,8,TRUE,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1974,,TRUE,FALSE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Mangroves USGS (2011),1.3 (June 2015),UN Environment World Conservation Monitoring Centre,9,TRUE,http://data.unep-wcmc.org/datasets/4,http://wcmc.io/mangroves,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Spatiotemporal Database of Mangrove Forest Cover (2014),2014,Salisbury University,10,FALSE,http://arxiv.org/abs/1412.0722,,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,World Atlas of Mangroves (2010),2,UN Environment World Conservation Monitoring Centre,11,TRUE,http://data.unep-wcmc.org/datasets/5,http://wcmc.io/mangroves,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Modelled Mangrove Biomass (2014),1.0 (2014),The Nature Conservancy,12,TRUE,http://data.unep-wcmc.org/datasets/39,http://wcmc.io/mangroves,TRUE,TRUE,FALSE,TRUE,TRUE
Biogenic habitat,World Mangrove Atlas (1997),1,UN Environment World Conservation Monitoring Centre,13,TRUE,http://data.unep-wcmc.org/datasets/6,http://wcmc.io/mangroves,FALSE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Mangrove Tree Height in Africa (2013),1.0 (September 2012),NASA Goddard Space Flight Centre,14,TRUE,,http://wcmc.io/mangroves,TRUE,FALSE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Seagrasses (2016),5 (December 2017),UN Environment World Conservation Monitoring Centre,15,TRUE,http://data.unep-wcmc.org/datasets/7,http://wcmc.io/seagrass,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Modelled Posidonia oceanica Distribution (2013),2013,"""Tor Vergata"" University of Rome",16,TRUE,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1974,http://wcmc.io/seagrass,TRUE,FALSE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Saltmarsh,5 (December 2017),UN Environment World Conservation Monitoring Centre,17,TRUE,http://data.unep-wcmc.org/datasets/43,http://wcmc.io/saltmarsh,TRUE,TRUE,TRUE,TRUE,TRUE
Species habitat,Global Distribution of Sea Turtle Nesting Sites (1999),1.1 (May 2015),UN Environment World Conservation Monitoring Centre,18,TRUE,http://data.unep-wcmc.org/datasets/22,http://wcmc.io/turtle-nesting-site,TRUE,FALSE,TRUE,TRUE,FALSE
Species habitat,Global Distribution of Sea Turtle Nesting Sites (2011),2011,State of the World's Sea Turtles,19,FALSE,http://www.seaturtlestatus.org,http://wcmc.io/turtle-nesting-site,TRUE,TRUE,FALSE,TRUE,FALSE
Species habitat,Global Distributions of Habitat Suitability for Sea Turtle Nesting Sites (2012),2012,State of the World's Sea Turtles,20,FALSE,http://www.seaturtlestatus.org,http://wcmc.io/turtle-nesting-site,TRUE,FALSE,FALSE,TRUE,FALSE
Species habitat,Global Distribution of Sea Turtle Feeding Sites (1999),1.1 (May 2015),UN Environment World Conservation Monitoring Centre,21,TRUE,http://data.unep-wcmc.org/datasets/21,,TRUE,FALSE,TRUE,TRUE,FALSE
Species habitat,Fish Aggregation Database,2013,Science and Conservation of Fish Aggregations,22,FALSE,http://www.scrfa.org/database,,TRUE,FALSE,FALSE,TRUE,TRUE
Species distribution,Ocean Tracking Network,,Dalhousie University,23,FALSE,http://members.oceantrack.org/data/discovery/GLOBAL.htm,,TRUE,TRUE,TRUE,TRUE,FALSE
Species distribution,Wildlife Tracking,,seaturtle.org,24,FALSE,http://www.wildlifetracking.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Movebank,,Max Planck Institute for Ornithology,25,FALSE,https://www.movebank.org,,TRUE,FALSE,TRUE,FALSE,FALSE
Species distribution,AquaMaps: Predicted Range Maps for Aquatic Species,Aug-16,"Aquamaps, a joint project of FishBase and SealifeBase",26,FALSE,http://www.aquamaps.org,,FALSE,FALSE,FALSE,TRUE,FALSE
Species distribution,Global Biodiversity Information Facility (GBIF),2017,Global Biodiversity Information Facility,27,FALSE,http://www.gbif.org,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Ocean Biogeographic Information System (OBIS),,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",28,TRUE,http://www.iobis.org,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Argos Wildlife Monitoring,,Collecte Localisation Satellites (CLS),29,FALSE,http://www.argos-system.org/using-argos/how-to-access-to-your-satellite-data/,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Ocean Biogeographic Information System Spatial Ecological Analysis of Megavertebrate Populations,,"Marine Geospatial Ecology Lab, Duke University",30,FALSE,http://seamap.env.duke.edu,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Global Register of Migratory Species (2004),,Zoologisches Forschungsinstitut und Museum Alexander Koenig,31,FALSE,http://www.groms.de,,TRUE,FALSE,TRUE,TRUE,FALSE
Species distribution,Global Distribution of Northern Fur Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,32,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Hawaiian Monk Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,33,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Grey Seals (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,34,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Hector's Dolphins (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,35,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Atlantic Spotted Dolphins (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,36,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Northern Bottlenose Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,37,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Sperm Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,38,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Bowhead Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,39,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Sei Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,40,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Distribution of Melon-Headed Whales (2013),1.0 (August 2013),Albert-Ludwigs-University of Freiburg,41,TRUE,http://www.aquamaps.org,,FALSE,TRUE,FALSE,TRUE,FALSE
Species distribution,Global Shark Distribution Database (2009),2009,Dalhousie University,42,FALSE,http://www.globalshark.ca/gs_distribution_db/data.php,,FALSE,FALSE,FALSE,TRUE,FALSE
Species distribution,Spatial Data for the Red List of Threatened Species,v5.1,International Union for Conservation of Nature,43,TRUE,http://www.iucnredlist.org,http://www.iucnredlist.org/technical-documents/spatial-data,TRUE,FALSE,TRUE,TRUE,FALSE
Species distribution,Biomass Of Deep Sea Floor,,Texas A&M University,44,FALSE,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0015323#s5,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,Global Modelled Distribution of Xenophyophores,,"University of Southampton, National Oceanography Centre",45,FALSE,https://doi.org/10.1016/j.dsr.2014.07.012,,TRUE,FALSE,FALSE,TRUE,FALSE
Species distribution,SponGIS,,University of Bergen,46,FALSE,http://spongis.org/,,FALSE,TRUE,FALSE,TRUE,TRUE
Species distribution,Corrected and Refined Mangrove Species Ranges (2014),1.0 (December 2014),UN Environment World Conservation Monitoring Centre,47,TRUE,,http://wcmc.io/mangroves,TRUE,FALSE,FALSE,TRUE,TRUE
Species distribution,Seabird Tracking Database,,Birdlife International,48,FALSE,http://www.seabirdtracking.org/,,TRUE,FALSE,TRUE,TRUE,FALSE
Biodiversity metric,Global Patterns of Marine Biodiversity (2010),,UN Environment World Conservation Monitoring Centre,49,TRUE,http://data.unep-wcmc.org/datasets/17,,FALSE,TRUE,FALSE,TRUE,FALSE
Biodiversity metric,Global Map of Shannon's Index of Biodiversity (OBIS),2014,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",50,TRUE,http://data.unep-wcmc.org/datasets/15,,FALSE,FALSE,FALSE,TRUE,FALSE
Biodiversity metric,Global Map of Hurlbert's Index of Biodiversity (OBIS),2014,"OBIS Secretariat, Intergovernmental Oceanographic Commission (UNESCO)",51,TRUE,http://data.unep-wcmc.org/datasets/16,,FALSE,FALSE,FALSE,TRUE,FALSE
Biodiversity metric,Global Seagrass Species Richness (2003),1,UN Environment World Conservation Monitoring Centre,52,TRUE,http://data.unep-wcmc.org/datasets/9,,FALSE,TRUE,FALSE,TRUE,TRUE
Biodiversity metric,Global Sea Turtle Species Richness (2002),,UN Environment World Conservation Monitoring Centre,53,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE
Protected areas and areas of biodiversity importance,Global Distribution of Important Marine Mammal Areas (IMMAs),,Marine Mammal Protected Areas Task Force,54,FALSE,http://www.iucnredlist.org/technical-documents/spatial-data,,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,World Database on Protected Areas,Released monthly,UN Environment World Conservation Monitoring Centre,55,TRUE,http://www.protectedplanet.net/,http://wcmc.io/MPA,TRUE,TRUE,TRUE,TRUE,FALSE
Protected areas and areas of biodiversity importance,Marine Protection Atlas (MPAtlas),,Marine Conservation Institute,56,FALSE,http://www.mpatlas.org/data/download/,,TRUE,FALSE,FALSE,FALSE,FALSE
Protected areas and areas of biodiversity importance,Global Distribution of Key Biodiversity Areas,2016,Birdlife International,57,TRUE,http://www.keybiodiversityareas.org/site/mapsearch,http://wcmc.io/KBA,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,Global Distribution of Vulnerable Marine Ecosystems,1,Food and Agriculture Organization of the United Nations,58,TRUE,http://www.fao.org/in-action/vulnerable-marine-ecosystems/background/vme-tools/en/#download_shapefiles,http://wcmc.io/VME,FALSE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,Global Distribution of Ecologically or Biologically Significant Marine Areas,1,Secretariat of the Convention on Biological Diversity,59,TRUE,https://www.cbd.int/ebsa/,http://wcmc.io/EBSA,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,Global Distribution of Particularly Sensitive Sea Areas (PSSA),2016,Claymoreclan Design,60,TRUE,http://pssa.imo.org,http://wcmc.io/PSSA,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,The Global 200 Ecoregions (2002),,World Wildlife Fund,61,FALSE,http://www.worldwildlife.org/publications/global-200,http://wcmc.io/Global-200,TRUE,TRUE,FALSE,TRUE,FALSE
Protected areas and areas of biodiversity importance,Areas of Particular Environmental Interest (APEI),1.0 (2012),International Seabed Authority,62,TRUE,http://wcmc.io/metadata,,TRUE,FALSE,TRUE,FALSE,FALSE
Protected areas and areas of biodiversity importance,A Global Map of Marine Critical Habitat (2015) as per IFC PS6,1.0 (August 2013),UN Environment World Conservation Monitoring Centre,63,TRUE,http://dx.doi.org/10.1016/j.marpol.2014.11.007,http://wcmc.io/critical-habitat,TRUE,FALSE,TRUE,FALSE,TRUE
Protected areas and areas of biodiversity importance,Global Diversity Hotspots and Conservation Priorities for Sharks (2011),2011,Dalhousie University,64,FALSE,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0019356,,FALSE,FALSE,FALSE,TRUE,FALSE
Biogeographic classification,Ecological Marine Units (EMU),,ESRI,65,FALSE,http://esri.maps.arcgis.com/home/group.html?id=6c78a5125d3244f38d1bc732ef0ee743#overview,,TRUE,FALSE,FALSE,TRUE,FALSE
Biogeographic classification,Large Marine Ecosystems of the World (2013),Jul-13,"Large Marine Ecosystem Program, National Oceanic and Atmospheric Administration-Fisheries",66,TRUE,http://www.lme.noaa.gov,,TRUE,FALSE,FALSE,TRUE,FALSE
Biogeographic classification,Longhurst Biogeographical Provinces (2006),,Flanders Marine Institute,67,FALSE,http://www.marineregions.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Biogeographic classification,Marine Ecoregions and Pelagic Provinces of the World (2007; 2012),1.0 (May 2015),The Nature Conservancy,68,TRUE,http://dx.doi.org/10.1641/B570707; 10.1016,http://wcmc.io/PPOW,TRUE,TRUE,FALSE,TRUE,FALSE
Biogeographic classification,Geomorphology of the oceans (2014),,GRID-Arendal,69,FALSE,http://www.bluehabitats.org/?page_id=58,,TRUE,FALSE,FALSE,FALSE,FALSE
Biogeographic classification,Global Estuary Database (2003),2.0 (2014),"Sea Around Us, University of British Columbia",70,TRUE,http://data.unep-wcmc.org/datasets/23,www.marbef.org/wiki/estuaries,TRUE,FALSE,FALSE,TRUE,FALSE
Biogeographic classification,Coral Ecoregions of the World (2009),1,Coral Reef Research,71,TRUE,https://www.jstage.jst.go.jp/article/galaxea/11/2/11_2_91/_pdf,,FALSE,TRUE,FALSE,TRUE,FALSE
Biogeographic classification,Global Distribution of Seamounts and Knolls (2011),1.0 (2011),"Institute of Zoology, Zoological Society of London",72,TRUE,http://data.unep-wcmc.org/datasets/41,http://wcmc.io/seamounts,TRUE,TRUE,TRUE,TRUE,TRUE
Biogeographic classification,Global Seamount Database (2011),16.1,"School of Ocean and Earth Science and Technology, University of Hawaii",73,FALSE,http://www.soest.hawaii.edu/PT/SMTS/main.html,http://wcmc.io/seamounts,TRUE,FALSE,TRUE,TRUE,FALSE
Biogeographic classification,Large Seamount Areas (2004),1,"Sea Around Us, University of British Columbia",74,TRUE,http://www.seaaroundus.org/large-seamount-areas/,http://wcmc.io/seamounts,TRUE,FALSE,TRUE,FALSE,FALSE
Biogeographic classification,Global Distribution of Hydrothermal Vents (2010),3,"University of Southampton, National Oceanography Centre",75,TRUE,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/hydrothermal-vents,TRUE,FALSE,TRUE,TRUE,TRUE
Biogeographic classification,Global Distribution of Hydrothermal Vent Fields,3.4 (October 2015),Woods Hole Oceanographic Institution,76,TRUE,http://vents-data.interridge.org/ventfields_list_all,http://wcmc.io/hydrothermal-vents,TRUE,FALSE,FALSE,TRUE,TRUE
Biogeographic classification,Global Distribution of Cold Seeps (2010),3,"University of Southampton, National Oceanography Centre",77,TRUE,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/cold-seep,TRUE,FALSE,TRUE,TRUE,TRUE
Biogeographic classification,A Proposed Biogeography of the Deep Oceans (2013),,University of Hawaii,78,FALSE,,,FALSE,FALSE,FALSE,TRUE,FALSE
Environment descriptor,General Bathymetric Chart of the Oceans (2008),GEBCO_2014 Grid,British Oceanographic Data Centre,79,FALSE,http://www.gebco.net/data_and_products/gridded_bathymetry_data,http://wcmc.io/environment-descriptors,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Global Sediment Map (marine realm),7.1,Service Hydrographique et Océanographique de la Marine,80,FALSE,diffusion.shom.fr/produits/sedimentologie/sedim-mondiale.html,,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Global Distribution of Seafloor Sediments,,The International Renewable Energy Agency,81,FALSE,ftp://ftp.earthbyte.org/papers/Dutkiewicz_etal_seafloor_lithology/,,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Global Crustal Model (2013),,"Scripps Institution of Oceanography, University of California",82,FALSE,http://igppweb.ucsd.edu/~gabi/crust1.html,,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Global Marine Environment Dataset,,"Institute of Marine Science, University of Auckland",83,FALSE,http://gmed.auckland.ac.nz/index.html,http://wcmc.io/environment-descriptors,TRUE,FALSE,FALSE,FALSE,FALSE
Environment descriptor,Bio-ORACLE: a Global Environmental Dataset for Marine Species Distribution Modelling (2012),,"Phycology Research Group, Ghent University",84,FALSE,http://www.oracle.ugent.be,http://wcmc.io/environment-descriptors,FALSE,FALSE,FALSE,TRUE,FALSE
Environment descriptor,AquaMaps Environmental Dataset,,"Aquamaps, a joint project of FishBase and SealifeBase",85,FALSE,http://www.aquamaps.org/download/main.php,,FALSE,FALSE,FALSE,TRUE,FALSE
Environment descriptor,Mean Sea Surface Productivity in June and December 2003-2007 (2008),,UN Environment World Conservation Monitoring Centre,86,TRUE,http://data.unep-wcmc.org/datasets/18,http://wcmc.io/environment-descriptors,FALSE,FALSE,FALSE,TRUE,FALSE
