Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Country,Region,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,License URL,Open Access,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon,Metadata link,Language,ABNJ_rel,ABNJ project
Environment descriptor,AquaMaps Environmental Dataset,,"Aquamaps, a joint project of FishBase and SealifeBase",AquaMaps-003,FALSE,http://www.aquamaps.org/download/main.php,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-NC 3.0 or 4.0,https://www.aquamaps.org/main/TermsConditions.php,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,English,TRUE,
Biodiversity-related data portal,PANGAEA,Updated regularly,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research",AWI-001,TRUE,https://www.pangaea.de/?t=Oceans,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.pangaeadata.com/PangaeaLicense.pdf,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=291,English,TRUE,
Ecological status and impact,LITTERBASE Online Portal for Marine Litter,1,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research",AWI-002,TRUE,https://litterbase.awi.de/litter,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=263,English,TRUE,
Biogenic habitat,Global Habitat Suitability for Framework-Forming Cold-Water Corals (2011),1,"School of Ocean Sciences, University of Bangor",Bangor-001,TRUE,http://doi.pangaea.de/10.1594/PANGAEA.775081,http://wcmc.io/cold-coral,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://doi.pangaea.de/10.1594/PANGAEA.775081,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=31,English,TRUE,
Protected areas and areas of biodiversity importance,Global Distribution of Key Biodiversity Areas,2016,Birdlife International,Birdlife-001,TRUE,http://www.keybiodiversityareas.org/site/mapsearch,http://wcmc.io/KBA,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.keybiodiversityareas.org/info/dataterms,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=151,English,TRUE,
Species distribution,Seabird Tracking Database,,Birdlife International,BirdLife-002,FALSE,http://www.seabirdtracking.org/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://seabirdtracking.org/termsofuse,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,English,TRUE,
Protected areas and areas of biodiversity importance,Global Distribution of Ecologically or Biologically Significant Marine Areas (EBSAs),1,Secretariat of the Convention on Biological Diversity,CBD-001,TRUE,https://www.cbd.int/ebsa/,http://wcmc.io/EBSA,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://www.cbd.int/terms/,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=161,English,TRUE,
Biogenic habitat,Marine Forests,1.0 (2018),Centre of Marine Sciences,CCMAR-001,TRUE,https://www.marineforests.com/,http://wcmc.io/seagrass,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://www.marineforests.com/,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=7,English,TRUE,
Biogeographic classification,Global Distribution of Cold Seeps (2010),3,"University of Southampton, National Oceanography Centre",ChEssBase-001,TRUE,http://www.noc.soton.ac.uk/chess/science/sci_project.php,http://wcmc.io/cold-seep,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://obis.org/dataset/471a8de8-80f8-43f9-9443-88a45712feba,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=201,English,TRUE,
Biogeographic classification,Global Distribution of Hydrothermal Vents (2010),3,"University of Southampton, National Oceanography Centre",ChEssBase-002,TRUE,https://obis.org/dataset/471a8de8-80f8-43f9-9443-88a45712feba,http://wcmc.io/hydrothermal-vents,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://obis.org/dataset/471a8de8-80f8-43f9-9443-88a45712feba,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=195,English,TRUE,
Biogenic habitat,Global Wetlands Map,2.0 (2017),Centre for International Forestry Research,CIFOR-001,TRUE,https://www.cifor.org/global-wetlands/,,Global,Global,CC BY 3.0 or 4.0,https://data.cifor.org/dataset.xhtml?persistentId=doi:10.17528/CIFOR/DATA.00058,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=10,English,FALSE,
Taxonomic database,Catalogue Of Life (CoL),,"Species 2000 Secretariat, Naturalis Biodiversity Center",CoL-001,TRUE,http://www.catalogueoflife.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.catalogueoflife.org/col/info/copyright,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=308,English,TRUE,
Biodiversity-related data portal,Copernicus - Marine Environment Monitoring Service,,Mercator Ocean,Copernicus-001,FALSE,http://marine.copernicus.eu/services-portfolio/access-to-products/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://marine.copernicus.eu/services-portfolio/service-commitments-and-licence/,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,English,TRUE,
Species distribution,Migratory Connectivity in the Ocean (MiCo),N/A,"Marine Geospatial Ecology Lab, Duke University",Duke-001,TRUE,https://mico.eco/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://mico.eco/terms/,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=76,English,TRUE,
Ecological status and impact,Sailing Seas of Plastic,,Dumpark data science & information design,Dumpark-001,FALSE,http://app.dumpark.com/seas-of-plastic-2/#,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-NC-ND 3.0 or 4.0,http://app.dumpark.com/seas-of-plastic-2/#oceans,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,English,TRUE,
Administration,Coastal Governance Index,,The Economist Intelligence Unit,EIU-001,FALSE,http://perspectives.eiu.com/sites/default/files/images/EIU_CGIndex_WEB%20final_0.pdf,,Global,Global,Not Reported,https://www.emodnet-seabedhabitats.eu/terms-of-use/#hfd2e562635da4460976df0a8220c415c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,
Taxonomic database,Encyclopedia of Life (EoL),3,Encyclopedia of Life (EOL),EoL-001,TRUE,http://eol.org/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://www.marinetraffic.com/en/p/terms,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=315,English,TRUE,
Ecological status and impact,Live Global Ship Tracking-AIS Marine Traffic,,Exmile Solutions Limited,ESL-001,FALSE,http://www.marinetraffic.com/en/ais/home/centerx:25.0/centery:37.0/zoom:10,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Unrestricted,https://www.marinetraffic.com/en/p/terms,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,English,TRUE,
Biodiversity-related data portal,Living Atlas of the World,,ESRI,ESRI-001,FALSE,https://livingatlas.arcgis.com/en/#s=0,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Unrestricted,https://livingatlas.arcgis.com/en/#s=0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,English,TRUE,
Biogeographic classification,Ecological Marine Units (EMU),,ESRI,ESRI-002,FALSE,http://esri.maps.arcgis.com/home/group.html?id=6c78a5125d3244f38d1bc732ef0ee743#overview,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Unrestricted,http://esri.maps.arcgis.com/home/item.html?id=58526e3af88b46a3a1d1eb1738230ee3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,English,TRUE,
Administration,Global Distribution of Regional Fishery Bodies (2010),2010,Food and Agriculture Organization of the United Nations,FAO-001,TRUE,http://www.fao.org:80/geonetwork?uuid=cc7dbf20-1b8b-11dd-8bbb-0017f293bd28,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.fao.org/geonetwork/srv/en/main.home?uuid=cc7dbf20-1b8b-11dd-8bbb-0017f293bd28#,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=337,English,TRUE,
Protected areas and areas of biodiversity importance,Global Distribution of Vulnerable Marine Ecosystems (VMEs),1,Food and Agriculture Organization of the United Nations,FAO-002,TRUE,http://www.fao.org/in-action/vulnerable-marine-ecosystems/background/vme-tools/en/#download_shapefiles,http://wcmc.io/VME,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.fao.org/contact-us/terms/en/,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=158,English,TRUE,
Administration,Statistical Areas For Fishery Purposes (2008),3,Food and Agriculture Organization of the United Nations,FAO-003,FALSE,http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.fao.org/contact-us/terms/en/,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,
Biodiversity-related data portal,FAO GeoNetwork,,Food and Agriculture Organization of the United Nations,FAO-004,FALSE,http://www.fao.org/geonetwork/srv/en/main.home#,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,http://www.fao.org/geonetwork/srv/en/main.home#,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,
Ecosystem services and natural capital,Funding the Ocean,1.0 (2018),Foundation Centre,FC-001,FALSE,https://fundingtheocean.org/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://fundingtheocean.org/,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,English,TRUE,
Ecosystem services and natural capital,NATURVATION Financial and Economic Values Database (FEVD),1.0 (2017),Utrecht University,FEVD-001,FALSE,https://naturvation.eu/result/financial-and-economic-values-database,,Global,Global,Not Reported,https://naturvation.eu/result/financial-and-economic-values-database,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,English,FALSE,
Biodiversity-related data portal,FishBase,Apr-19,FishBase Consortium,FishBase-001,TRUE,http://www.fishbase.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-NC 3.0 or 4.0,https://www.fishbase.in/search.php,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=294,English,TRUE,
Administration,Global Administrative Areas,2.0 (January 2012),Global Administrative Areas,GADM-001,FALSE,http://www.gadm.org,,Global,Global,Specific Terms of Use,https://gadm.org/license.html,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,
Species distribution,Global Biodiversity Information Facility (GBIF),2017,Global Biodiversity Information Facility,GBIF-001,TRUE,http://www.gbif.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://www.gbif.org/terms,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=83,English,TRUE,
Environment descriptor,General Bathymetric Chart of the Oceans (2008),GEBCO_2014 Grid,British Oceanographic Data Centre,GEBCO-001,FALSE,http://www.gebco.net/data_and_products/gridded_bathymetry_data,http://wcmc.io/environment-descriptors,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Unrestricted,https://www.gebco.net/data_and_products/gridded_bathymetry_data/gebco_2019/gebco_2019_info.html,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,
Biodiversity-related data portal,The Global Earth Observation System of Systems (GEOSS) Portal,,Group on Earth Observations,GEO-001,FALSE,http://www.geoportal.org/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://www.geoportal.org/community/guest/terms-conditions,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"English, Polish",TRUE,
Ecological status and impact,Global Fishing Watch,Daily updates,Global Fishing Watch,GFW-001,TRUE,http://globalfishingwatch.org/data,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-SA 4.0,https://globalfishingwatch.org/terms-of-use/,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=253,English,TRUE,
Environment descriptor,Bio-ORACLE: a Global Environmental Dataset for Marine Species Distribution Modelling (2012),,"Phycology Research Group, Ghent University",Ghent-001,FALSE,http://www.oracle.ugent.be,http://wcmc.io/environment-descriptors,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",GNU (similar to CC BY-SA 4.0),http://www.gnu.org/licenses/lgpl.html,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,English,TRUE,
Administration,Global Maritime Boundaries Database (GMBD) (2008),,"General Dynamics Advanced Information Systems, Inc.",GMBD-001,FALSE,http://www.globalgisdata.com/10974.html,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.globalgisdata.com/downloads/GlobalGISdataProductsEndUserLicenseAgreement.pdf,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,
Environment descriptor,Global Marine Environment Dataset (GMED),2,"Institute of Marine Science, University of Auckland",GMED-001,FALSE,http://gmed.auckland.ac.nz/index.html,http://wcmc.io/environment-descriptors,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",GNU (similar to CC BY-SA 4.0),www.gnu.org/licenses/lgpl.html,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,
Biogenic habitat,Global Mangrove Watch,2,Global Mangrove Watch,GMW-001,TRUE,https://data.unep-wcmc.org/datasets/45,http://wcmc.io/mangroves,Global,Global,CC BY 3.0 or 4.0,https://data.unep-wcmc.org/datasets/45,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=16,English,FALSE,
Ecological status and impact,Global Ocean Acidification Observing Network,,Global Ocean Acidification Observation Network,GOAON-001,FALSE,http://portal.goa-on.org/Explorer,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,http://portal.goa-on.org/Explorer,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,English,TRUE,
Biogeographic classification,Seafloor Geomorphic Features Map (2014),2014,GRID-Arendal,GridA-001,TRUE,http://www.bluehabitats.org/?page_id=58,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,http://www.bluehabitats.org/?page_id=58,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=182,English,TRUE,
Species distribution,Global Register of Migratory Species (2004),,Zoologisches Forschungsinstitut und Museum Alexander Koenig,GROMS-001,FALSE,http://www.groms.de,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,http://www.groms.de/groms/JPGs/Small_Ones/index.html,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,"English, German",TRUE,
Ecosystem services and natural capital,History of Marine Animal Populations (HMAP) ,,"Maritime Historical Studies Centre, University of Hull",HMAP-001,FALSE,https://oceanspast.org/hmap_db.php#toc2,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,https://oceanspast.org/hmap_db.php,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,English,TRUE,
Biodiversity-related data portal,Integrated Biodiversity Assessment Tool (IBAT),,Integrated Biodiversity Assessment Tool,IBAT-001,TRUE,https://www.ibat-alliance.org/ibat-conservation/login,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://www.ibat-alliance.org/terms,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=304,English,TRUE,
Ecological status and impact,Submarine Cable Map,,International Cable Protection Committee,ICPC-001,TRUE,https://iscpc.org/cable-data,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-NC-SA 3.0 or 4.0,https://github.com/telegeography/www.submarinecablemap.com,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=260,English,TRUE,
Ecological status and impact,Maritime Portal: Sea-web and AISLive Ship Tracking Intelligence,,IHS Markit,IHS-001,FALSE,https://www.ihs.com/products/maritime-ship-tracker-ais-live-ship-data-seaweb.html,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,https://www.ihs.com/products/maritime-ship-tracker-ais-live-ship-data-seaweb.html,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,English,TRUE,
Protected areas and areas of biodiversity importance,Global Distribution of Particularly Sensitive Sea Areas (PSSA),2016,Claymoreclan Design,IMO-001,TRUE,http://pssa.imo.org,http://wcmc.io/PSSA,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.imo.org/en/About/Pages/PrivacyPolicy.aspx,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=164,English,TRUE,
